tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth_year,gender
190,18:23.3,21:34.2,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,32586,Customer,1970,0
276,27:31.4,32:07.5,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,39740,Customer,1970,0
1770,30:28.3,59:58.9,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,43467,Subscriber,1958,1
775,33:35.3,46:30.3,3186,Grove St PATH,40.71958612,-74.04311746,3225,Baldwin at Montgomery,40.7236589,-74.0641943,44683,Customer,1970,0
734,34:54.6,47:08.6,3186,Grove St PATH,40.71958612,-74.04311746,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42308,Customer,1970,0
363,42:52.2,48:55.9,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,31483,Customer,1970,0
469,51:11.6,59:01.2,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,39740,Customer,1986,1
266,53:21.5,57:48.5,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,26469,Customer,1970,0
102,57:05.1,58:47.1,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,32531,Customer,1970,0
2765,01:01.7,47:06.9,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,43467,Subscriber,1958,1
112,09:01.5,10:54.5,3273,Manila & 1st,40.72165072,-74.04288411,3272,Jersey & 3rd,40.72333159,-74.04595256,42582,Customer,1970,0
233,10:32.6,14:26.3,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,39533,Customer,1970,0
885,12:48.6,27:34.3,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,44664,Customer,1970,0
492,19:32.7,27:45.7,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,44394,Customer,1970,0
225,19:32.8,23:18.6,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,48739,Customer,1970,0
714,25:23.0,37:17.9,3213,Van Vorst Park,40.71848892,-74.04772663,3268,Lafayette Park,40.71346383,-74.06285852,39661,Customer,1970,0
